Year,CountryCode,Population
1960,WLD,3031564839
1961,WLD,3072510552
1962,WLD,3126934725
1963,WLD,3193508879
1964,WLD,3260517816
1965,WLD,3328284623
1966,WLD,3398561224
1967,WLD,3468457168
1968,WLD,3540254815
1969,WLD,3614668576
1970,WLD,3690306927
1971,WLD,3768023181
1972,WLD,3843695351
1973,WLD,3920099706
1974,WLD,3995972023
1975,WLD,4070114517
1976,WLD,4143194666
1977,WLD,4215940807
1978,WLD,4289914737
1979,WLD,4365850756
1980,WLD,4442440474
1981,WLD,4520991254
1982,WLD,4602763792
1983,WLD,4684941826
1984,WLD,4766716805
1985,WLD,4850160867
1986,WLD,4936097368
1987,WLD,5024386163
1988,WLD,5113492328
1989,WLD,5202698711
1990,WLD,5293517142
1991,WLD,5382656065
1992,WLD,5470276947
1993,WLD,5556722537
1994,WLD,5642128764
1995,WLD,5726801833
1996,WLD,5811624986
1997,WLD,5896077736
1998,WLD,5979730356
1999,WLD,6062281732
2000,WLD,6144322697
2001,WLD,6226339538
2002,WLD,6308092739
2003,WLD,6389383352
2004,WLD,6470821068
2005,WLD,6552571570
2006,WLD,6634935638
2007,WLD,6717641730
2008,WLD,6801408360
2009,WLD,6885490816
2010,WLD,6969631901
2011,WLD,7053533350
2012,WLD,7140895722
2013,WLD,7229184551
